"filename", "language", "JavaScript", "Markdown", "JavaScript JSX", "XML", "JSON", "PostCSS", "HTML", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\tests\est_api_auth.py", "Python", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 12, 56
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\tests\test_achievements_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 22, 77
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\tests\test_analytics_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 52, 245
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\tests\test_challenge_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 38, 162
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\tests\test_history_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 38, 173
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\tests\test_quiz_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 57, 256
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\tests\test_ranking_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 28, 108
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 24, 178
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 524, 0, 1, 140, 665
"c:\Users\hp\EngineeringQuizArena\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 39
"c:\Users\hp\EngineeringQuizArena\deployment_notes.md", "Markdown", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 35, 96
"c:\Users\hp\EngineeringQuizArena\docs\API_Documentation.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\EngineeringQuizArena\docs\Day10_Report.md", "Markdown", 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 102, 290
"c:\Users\hp\EngineeringQuizArena\docs\Day11_Report.md", "Markdown", 0, 220, 0, 0, 0, 0, 0, 0, 0, 0, 127, 347
"c:\Users\hp\EngineeringQuizArena\docs\Day12_Report.md", "Markdown", 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 94, 271
"c:\Users\hp\EngineeringQuizArena\docs\Day13_Report.md", "Markdown", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 55, 176
"c:\Users\hp\EngineeringQuizArena\docs\Day14_Report.md", "Markdown", 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 62, 191
"c:\Users\hp\EngineeringQuizArena\docs\Day15_Report.md", "Markdown", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 76, 217
"c:\Users\hp\EngineeringQuizArena\docs\Day16_Report.md", "Markdown", 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 86, 272
"c:\Users\hp\EngineeringQuizArena\docs\Day17_Report.md", "Markdown", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 59, 170
"c:\Users\hp\EngineeringQuizArena\docs\Day18_Report.md", "Markdown", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 48, 163
"c:\Users\hp\EngineeringQuizArena\docs\Day19_Report.md", "Markdown", 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 106, 288
"c:\Users\hp\EngineeringQuizArena\docs\Day1_Report.md", "Markdown", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 61, 151
"c:\Users\hp\EngineeringQuizArena\docs\Day20_Report.md", "Markdown", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 35, 108
"c:\Users\hp\EngineeringQuizArena\docs\Day21_Report.md", "Markdown", 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 140, 341
"c:\Users\hp\EngineeringQuizArena\docs\Day22_Report.md", "Markdown", 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 85, 246
"c:\Users\hp\EngineeringQuizArena\docs\Day23_Report.md", "Markdown", 0, 293, 0, 0, 0, 0, 0, 0, 0, 0, 141, 434
"c:\Users\hp\EngineeringQuizArena\docs\Day24_Report.md", "Markdown", 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 101, 303
"c:\Users\hp\EngineeringQuizArena\docs\Day25_Report.md", "Markdown", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 95, 254
"c:\Users\hp\EngineeringQuizArena\docs\Day26_Report.md", "Markdown", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 71, 221
"c:\Users\hp\EngineeringQuizArena\docs\Day27_Report.md", "Markdown", 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 132, 351
"c:\Users\hp\EngineeringQuizArena\docs\Day28_Report.md", "Markdown", 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 117, 314
"c:\Users\hp\EngineeringQuizArena\docs\Day29_Report.md", "Markdown", 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 105, 316
"c:\Users\hp\EngineeringQuizArena\docs\Day2_Report.md", "Markdown", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 110, 266
"c:\Users\hp\EngineeringQuizArena\docs\Day30_Report.md", "Markdown", 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 89, 268
"c:\Users\hp\EngineeringQuizArena\docs\Day31_Report.md", "Markdown", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 52, 167
"c:\Users\hp\EngineeringQuizArena\docs\Day32_Report.md", "Markdown", 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 127, 351
"c:\Users\hp\EngineeringQuizArena\docs\Day3_Report.md", "Markdown", 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 108, 287
"c:\Users\hp\EngineeringQuizArena\docs\Day4_Report.md", "Markdown", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 65, 176
"c:\Users\hp\EngineeringQuizArena\docs\Day5_Report.md", "Markdown", 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 97, 297
"c:\Users\hp\EngineeringQuizArena\docs\Day6_Report.md", "Markdown", 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 115, 334
